stream_id,ratio,t,F0,Nt
0,0.05,5000,4869,4961.39
0,0.1,10000,9704,9473.7
0,0.15,15000,14513,14578.3
0,0.2,20000,19337,19232.1
0,0.25,25000,24127,24031.7
0,0.3,30000,28921,28772.2
0,0.35,35000,33717,33678.4
0,0.4,40000,38507,38949.4
0,0.45,45000,43290,44042.3
0,0.5,50000,48084,49390.1
0,0.55,55000,52871,54709.3
0,0.6,60000,57648,59848.1
0,0.65,65000,62412,64646.3
0,0.7,70000,67163,70352.7
0,0.75,75000,71922,75254.1
0,0.8,80000,76665,80011.2
0,0.85,85000,81407,86076.6
0,0.9,90000,86159,91573.8
0,0.95,95000,90912,95847.9
0,1,100000,95624,100313
1,0.05,5000,4904,4851.8
1,0.1,10000,9698,9270.67
1,0.15,15000,14520,13681.8
1,0.2,20000,19338,18438.9
1,0.25,25000,24148,23957.6
1,0.3,30000,28957,28482.8
1,0.35,35000,33744,33247
1,0.4,40000,38530,38166.6
1,0.45,45000,43300,42895.5
1,0.5,50000,48069,48048
1,0.55,55000,52858,54613.5
1,0.6,60000,57601,58645.5
1,0.65,65000,62355,63612.6
1,0.7,70000,67091,68543.9
1,0.75,75000,71847,73618.2
1,0.8,80000,76594,78813.5
1,0.85,85000,81337,83034.3
1,0.9,90000,86103,89535
1,0.95,95000,90839,94303.5
1,1,100000,95584,99038.7
2,0.05,5000,4898,4999.32
2,0.1,10000,9705,9793.67
2,0.15,15000,14506,14802.9
2,0.2,20000,19334,19498.7
2,0.25,25000,24110,24153.9
2,0.3,30000,28916,28897.7
2,0.35,35000,33720,34361.9
2,0.4,40000,38510,38998.6
2,0.45,45000,43282,42865.1
2,0.5,50000,48057,46952.5
2,0.55,55000,52819,51747.8
2,0.6,60000,57604,56475.2
2,0.65,65000,62337,60096.8
2,0.7,70000,67117,66874.1
2,0.75,75000,71876,71861.1
2,0.8,80000,76638,75189.5
2,0.85,85000,81375,80878.3
2,0.9,90000,86106,88076.1
2,0.95,95000,90815,91684.9
2,1,100000,95560,98065
3,0.05,5000,4900,4963.43
3,0.1,10000,9734,9127.59
3,0.15,15000,14547,14401.9
3,0.2,20000,19370,19927.8
3,0.25,25000,24189,25004.8
3,0.3,30000,28993,30134.5
3,0.35,35000,33790,34570
3,0.4,40000,38584,39615.3
3,0.45,45000,43363,45881.9
3,0.5,50000,48151,49160.3
3,0.55,55000,52893,52613.7
3,0.6,60000,57645,56626.3
3,0.65,65000,62412,60804.1
3,0.7,70000,67177,65692
3,0.75,75000,71934,68765.9
3,0.8,80000,76674,72168.8
3,0.85,85000,81418,77569.6
3,0.9,90000,86131,83935.4
3,0.95,95000,90889,87959.9
3,1,100000,95615,92534.9
4,0.05,5000,4880,4960.5
4,0.1,10000,9721,10053.9
4,0.15,15000,14545,14282.4
4,0.2,20000,19338,18995.3
4,0.25,25000,24127,23638.4
4,0.3,30000,28916,27342.9
4,0.35,35000,33699,31608.2
4,0.4,40000,38497,36942.5
4,0.45,45000,43263,42499.4
4,0.5,50000,48041,46048
4,0.55,55000,52826,50657.4
4,0.6,60000,57601,55775.6
4,0.65,65000,62371,59039.6
4,0.7,70000,67104,64113.1
4,0.75,75000,71854,68242.1
4,0.8,80000,76568,71206.6
4,0.85,85000,81311,76673.9
4,0.9,90000,86041,81861.5
4,0.95,95000,90776,86133.5
4,1,100000,95514,89236.9
